Fecha,Dirección (Cruces),Colonia / Sector,Lat,Lon,Tipo de Incendio,Causa Probable,Daños,Descripción / Contexto,Fuente
23/06/2021,Zona Centro (Calles no esp.),Centro,31.74,-106.48,Fincas Abandonadas,Vandalismo,Pérdida Total (3 fincas),Destrucción de 3 fincas y 2 bodegas abandonadas.,[Heraldo]
17/05/2021,C. Centeno (Taller),El Granjero,31.666,-106.417,Taller Mecánico,Accidental,Pérdida Total,"Incendio en taller mecánico, consumió vehículos y estructura.",
29/10/2020,C. Trigo y C. Grosella,El Granjero,31.667,-106.416,Residencial,Desconocida,Pérdidas Considerables,Incendio matutino en vivienda. Dos adultos evacuaron ilesos.,
15/10/2020,Col. Corregidora,Centro (Oeste),31.73,-106.49,Residencial,Accidental,1 Fallecido,Hombre con discapacidad motriz murió atrapado en incendio de su casa.,[Heraldo]
08/10/2020,C. Rivera Olimpo y Rivera Edén (#2817-51),Riberas del Bravo (Etapa 8),31.635,-106.328,Residencial,Intencional,Parciales,Incendio provocado en vivienda de interés social.,
30/03/2020,C. Vicente Guerrero y C. Guatemala,Centro (Partido Romero),31.744,-106.473,Infraestructura (Gas),Accidental (Obra),2 Lesionados,Chispa de rotomartillo en obra provocó incendio en tubería de gas natural.,[Puente Libre]
28/02/2020,C. Obsidiana y C. Corindón,Col. Libertad (Oeste Centro),31.735,-106.5,Residencial,Desconocida,1 Fallecido,Hombre de 78 años localizado sin vida tras incendio en vivienda.,[Heraldo]
12/02/2020,C. 5 de Mayo e Ignacio de la Peña,Centro,31.737,-106.48,Bodega Comercial,Cortocircuito,Derrumbe / Pérdida Total,"Bodega de ropa y maquinaria (2,000 m²). 8 horas de combate. Colapso de muros.",[Heraldo]
04/12/2019,C. Emilio Campa y C. Carlos Fuero,Col. Fco. I. Madero (Oeste Centro),31.74,-106.51,Residencial,Desconocida,Pérdida Total (Madera/Cartón),Vivienda humilde consumida totalmente. Vecinos intentaron apagarlo.,[Heraldo]
03/09/2019,C. Mamey y C. Cártamo,El Granjero,31.67,-106.412,Bodega (Aceites),Industrial,Derrame / Pérdida Total,"Incendio de bodega ""Canoil"". Derrame de aceite hirviendo a la calle. Evacuación escolar.",
01/07/2019,Av. Vicente Guerrero y C. Constitución,Centro,31.7435,-106.475,Edificio Abandonado,Vandalismo,Estructurales,"Incendio en antiguas instalaciones de Canal 5 (XEJ). Edificio ""zombi"".",[Puente Libre]
25/03/2019,C. María Martínez y Melchor Ocampo,Centro,31.746,-106.488,Residencial,Desconocida,Pérdida Total,Vivienda consumida. Dos mujeres atendidas por inhalación de humo.,[Puente Libre]
02/04/2018,Parque Ind. Omega (Referencia contexto),El Granjero (Zona cercana),31.66,-106.42,Industrial (Maquiladora),Industrial,Pérdida Total,Incendio en maquiladora BM de México. Estructura colapsada. (Dato histórico contexto).,
31/03/2015,Av. Centeno y C. Sandía,El Granjero,31.6685,-106.415,Comercial (Carnicería),Accidental,Materiales,"Incendio en planta alta de ""Carnicería Abasca"". Rescate de empleados en azotea.",
14/12/2015,Col. Galeana (Ubicación genérica),Col. Galeana (Oeste Centro),31.73,-106.52,Residencial,Monóxido/Fuego,1 Fallecido,Muerte de hombre por intoxicación tras incendio en vivienda.,
